iter=1, pathcost=0, heuristic=9, score=9, children=20, Qsize=0
iter=2, pathcost=1, heuristic=8, score=9, children=20, Qsize=19
iter=3, pathcost=2, heuristic=7, score=9, children=20, Qsize=34
iter=4, pathcost=1, heuristic=9, score=10, children=20, Qsize=45
iter=5, pathcost=1, heuristic=9, score=10, children=20, Qsize=59
iter=6, pathcost=1, heuristic=9, score=10, children=20, Qsize=74
iter=7, pathcost=2, heuristic=8, score=10, children=20, Qsize=88
iter=8, pathcost=2, heuristic=8, score=10, children=20, Qsize=98
iter=9, pathcost=3, heuristic=7, score=10, children=20, Qsize=113
iter=10, pathcost=1, heuristic=9, score=10, children=20, Qsize=124
iter=11, pathcost=2, heuristic=8, score=10, children=20, Qsize=139
iter=12, pathcost=2, heuristic=8, score=10, children=20, Qsize=148
iter=13, pathcost=1, heuristic=9, score=10, children=20, Qsize=156
iter=14, pathcost=1, heuristic=9, score=10, children=20, Qsize=170
iter=15, pathcost=2, heuristic=8, score=10, children=20, Qsize=183
iter=16, pathcost=2, heuristic=8, score=10, children=20, Qsize=192
iter=17, pathcost=1, heuristic=9, score=10, children=20, Qsize=200
iter=18, pathcost=2, heuristic=8, score=10, children=20, Qsize=207
iter=19, pathcost=2, heuristic=8, score=10, children=20, Qsize=216
iter=20, pathcost=1, heuristic=9, score=10, children=20, Qsize=222
iter=21, pathcost=1, heuristic=9, score=10, children=20, Qsize=235
iter=22, pathcost=1, heuristic=9, score=10, children=20, Qsize=248
iter=23, pathcost=2, heuristic=8, score=10, children=20, Qsize=256
iter=24, pathcost=2, heuristic=8, score=10, children=20, Qsize=267
iter=25, pathcost=3, heuristic=7, score=10, children=20, Qsize=274
iter=26, pathcost=3, heuristic=7, score=10, children=20, Qsize=287
iter=27, pathcost=1, heuristic=9, score=10, children=20, Qsize=296
iter=28, pathcost=2, heuristic=8, score=10, children=20, Qsize=305
iter=29, pathcost=3, heuristic=7, score=10, children=20, Qsize=315
iter=30, pathcost=3, heuristic=7, score=10, children=20, Qsize=324
iter=31, pathcost=2, heuristic=8, score=10, children=20, Qsize=329
iter=32, pathcost=3, heuristic=7, score=10, children=20, Qsize=339
iter=33, pathcost=3, heuristic=7, score=10, children=20, Qsize=342
iter=34, pathcost=1, heuristic=9, score=10, children=20, Qsize=349
iter=35, pathcost=1, heuristic=9, score=10, children=20, Qsize=361
iter=36, pathcost=3, heuristic=7, score=10, children=20, Qsize=369
iter=37, pathcost=3, heuristic=7, score=10, children=20, Qsize=376
iter=38, pathcost=3, heuristic=7, score=10, children=20, Qsize=377
iter=39, pathcost=3, heuristic=7, score=10, children=20, Qsize=386
iter=40, pathcost=1, heuristic=9, score=10, children=20, Qsize=391
iter=41, pathcost=2, heuristic=8, score=10, children=20, Qsize=400
iter=42, pathcost=3, heuristic=7, score=10, children=20, Qsize=407
iter=43, pathcost=1, heuristic=9, score=10, children=20, Qsize=412
iter=44, pathcost=2, heuristic=8, score=10, children=20, Qsize=421
iter=45, pathcost=2, heuristic=8, score=10, children=20, Qsize=430
iter=46, pathcost=2, heuristic=9, score=11, children=20, Qsize=437
iter=47, pathcost=2, heuristic=9, score=11, children=20, Qsize=452
iter=48, pathcost=4, heuristic=7, score=11, children=20, Qsize=463
iter=49, pathcost=2, heuristic=9, score=11, children=20, Qsize=472
iter=50, pathcost=2, heuristic=9, score=11, children=20, Qsize=483
iter=51, pathcost=2, heuristic=9, score=11, children=20, Qsize=496
iter=52, pathcost=2, heuristic=9, score=11, children=20, Qsize=507
iter=53, pathcost=2, heuristic=9, score=11, children=20, Qsize=519
iter=54, pathcost=3, heuristic=8, score=11, children=20, Qsize=530
iter=55, pathcost=4, heuristic=7, score=11, children=20, Qsize=539
iter=56, pathcost=2, heuristic=9, score=11, children=20, Qsize=546
iter=57, pathcost=2, heuristic=9, score=11, children=20, Qsize=561
iter=58, pathcost=2, heuristic=9, score=11, children=20, Qsize=566
iter=59, pathcost=2, heuristic=9, score=11, children=20, Qsize=575
iter=60, pathcost=1, heuristic=10, score=11, children=20, Qsize=586
iter=61, pathcost=2, heuristic=9, score=11, children=20, Qsize=591
