iter=1, pathcost=0, heuristic=5, score=5, children=6, Qsize=0
iter=2, pathcost=1, heuristic=5, score=6, children=6, Qsize=1
iter=3, pathcost=1, heuristic=5, score=6, children=6, Qsize=2
iter=4, pathcost=2, heuristic=5, score=7, children=6, Qsize=3
iter=5, pathcost=2, heuristic=5, score=7, children=6, Qsize=4
iter=6, pathcost=2, heuristic=5, score=7, children=6, Qsize=7
iter=7, pathcost=2, heuristic=5, score=7, children=6, Qsize=8
iter=8, pathcost=3, heuristic=5, score=8, children=6, Qsize=11
iter=9, pathcost=3, heuristic=5, score=8, children=6, Qsize=14
iter=10, pathcost=3, heuristic=5, score=8, children=6, Qsize=14
iter=11, pathcost=3, heuristic=5, score=8, children=6, Qsize=15
iter=12, pathcost=3, heuristic=5, score=8, children=6, Qsize=16
iter=13, pathcost=3, heuristic=5, score=8, children=6, Qsize=19
iter=14, pathcost=3, heuristic=5, score=8, children=6, Qsize=22
iter=15, pathcost=3, heuristic=5, score=8, children=6, Qsize=23
iter=16, pathcost=3, heuristic=5, score=8, children=6, Qsize=22
iter=17, pathcost=3, heuristic=5, score=8, children=6, Qsize=25
iter=18, pathcost=3, heuristic=5, score=8, children=6, Qsize=26
iter=19, pathcost=4, heuristic=4, score=8, children=6, Qsize=29
iter=20, pathcost=3, heuristic=5, score=8, children=6, Qsize=32
iter=21, pathcost=4, heuristic=5, score=9, children=6, Qsize=35
iter=22, pathcost=4, heuristic=5, score=9, children=6, Qsize=38
iter=23, pathcost=4, heuristic=5, score=9, children=6, Qsize=39
iter=24, pathcost=5, heuristic=4, score=9, children=6, Qsize=38
iter=25, pathcost=5, heuristic=4, score=9, children=6, Qsize=39
iter=26, pathcost=4, heuristic=5, score=9, children=6, Qsize=42
iter=27, pathcost=5, heuristic=4, score=9, children=6, Qsize=45
iter=28, pathcost=5, heuristic=4, score=9, children=6, Qsize=46
iter=29, pathcost=4, heuristic=5, score=9, children=6, Qsize=47
iter=30, pathcost=4, heuristic=5, score=9, children=6, Qsize=50
iter=31, pathcost=4, heuristic=5, score=9, children=6, Qsize=50
iter=32, pathcost=4, heuristic=5, score=9, children=6, Qsize=53
iter=33, pathcost=4, heuristic=5, score=9, children=6, Qsize=54
iter=34, pathcost=4, heuristic=5, score=9, children=6, Qsize=57
iter=35, pathcost=4, heuristic=5, score=9, children=6, Qsize=60
iter=36, pathcost=4, heuristic=5, score=9, children=6, Qsize=61
iter=37, pathcost=4, heuristic=5, score=9, children=6, Qsize=64
iter=38, pathcost=4, heuristic=5, score=9, children=6, Qsize=65
iter=39, pathcost=4, heuristic=5, score=9, children=6, Qsize=68
iter=40, pathcost=4, heuristic=5, score=9, children=6, Qsize=69
iter=41, pathcost=4, heuristic=5, score=9, children=6, Qsize=70
iter=42, pathcost=4, heuristic=5, score=9, children=6, Qsize=73
iter=43, pathcost=4, heuristic=5, score=9, children=6, Qsize=74
iter=44, pathcost=4, heuristic=5, score=9, children=6, Qsize=75
iter=45, pathcost=4, heuristic=5, score=9, children=6, Qsize=76
iter=46, pathcost=4, heuristic=5, score=9, children=6, Qsize=79
iter=47, pathcost=4, heuristic=5, score=9, children=6, Qsize=82
iter=48, pathcost=4, heuristic=5, score=9, children=6, Qsize=82
iter=49, pathcost=4, heuristic=5, score=9, children=6, Qsize=84
iter=50, pathcost=5, heuristic=4, score=9, children=6, Qsize=85
iter=51, pathcost=4, heuristic=5, score=9, children=6, Qsize=88
iter=52, pathcost=5, heuristic=4, score=9, children=6, Qsize=91
iter=53, pathcost=4, heuristic=5, score=9, children=6, Qsize=94
iter=54, pathcost=4, heuristic=5, score=9, children=6, Qsize=97
